base_url,requests,concurrency,tenant_mode,elapsed_s,requests_per_sec,success,failure,min_ms,avg_ms,p50_ms,p95_ms,p99_ms,max_ms
http://localhost:8000,5000,16,uniform,15.6077,320.3540,5000,0,4.95,45.23,21.10,171.37,347.31,825.46
http://localhost:8000,5000,16,uniform,406.1371,12.3111,4845,155,6.22,1225.13,62.51,309.75,30043.09,30095.09
http://localhost:8000,5000,16,uniform,402.5459,12.4209,4844,156,7.00,1188.88,46.00,255.02,30051.11,30239.19
http://localhost:8000,5000,16,uniform,405.4440,12.3322,4843,157,9.92,1223.42,57.17,322.33,30035.88,30405.77
http://localhost:8000,5000,16,single-hot,403.1701,12.4017,4841,159,7.30,1238.82,53.46,232.39,30049.95,30086.96
