base_url,requests,concurrency,tenant_mode,elapsed_s,requests_per_sec,success,failure,min_ms,avg_ms,p50_ms,p95_ms,p99_ms,max_ms
http://localhost:8000,5000,8,uniform,403.2244,12.4000,4915,85,6.35,626.07,27.51,43.39,30017.94,30067.32
http://localhost:8000,5000,16,uniform,434.4963,11.5076,4824,176,6.27,1389.79,57.68,3287.82,30042.45,30086.69
http://localhost:8000,5000,32,uniform,410.9051,12.1683,4642,358,7.27,2450.32,107.59,30023.12,30144.45,30829.74
