base_url,requests,concurrency,tenant_mode,elapsed_s,requests_per_sec,success,failure,min_ms,avg_ms,p50_ms,p95_ms,p99_ms,max_ms
http://localhost:8000,5000,8,uniform,9.8984,505.1328,5000,0,4.94,15.39,13.28,27.30,45.34,266.92
http://localhost:8000,5000,16,uniform,15.1857,329.2572,5000,0,5.27,44.66,20.56,172.36,334.48,1068.98
